Date,Open,High,Low,Close,Volume,Adj Close,Code
2015-01-29,71.049999,72.900003,70.959997,72.709997,5591300,66.870615,DD
2015-01-28,72.230004,73.129993,71.589995,71.709996,4471100,65.950924,DD
2015-01-27,71.989996,73.839992,71.500001,73.179995,5657900,67.302868,DD
2015-01-26,73.970002,74.449995,73.379996,74.109999,2949900,68.158182,DD
2015-01-23,74.859998,74.949992,73.549998,73.789998,3672700,67.863881,DD
2015-01-22,74.499997,75.15,73.809994,75.089996,3077900,69.059475,DD
2015-01-21,74.089995,74.529995,73.519992,74.179997,3134600,68.222558,DD
2015-01-20,75.169996,75.169996,73.370002,74.360001,3352100,68.388106,DD
2015-01-16,73.44,74.360001,72.839991,74.249995,4019600,68.286935,DD
2015-01-15,72.949997,74.099997,72.819995,73.149997,5413900,67.275279,DD
2015-01-14,72.869997,73.119999,72.029996,72.949997,3382300,67.091341,DD
2015-01-13,74.849996,75.689997,72.610001,73.139995,6166800,67.26608,DD
2015-01-12,74.179997,74.899998,72.940003,74.410003,6508000,68.434093,DD
2015-01-09,75.529996,75.769997,73.179995,73.499996,7330500,67.597169,DD
2015-01-08,72.869997,74.969996,72.869997,74.529995,5403000,68.544448,DD
2015-01-07,71.329999,72.359998,71.079997,72.309996,4601000,66.502739,DD
2015-01-06,71.349995,72.069996,70.190002,70.889998,5722900,65.196782,DD
2015-01-05,73.499996,73.64,71.439997,71.719998,4991700,65.960123,DD
2015-01-02,73.839992,74.109999,73.260004,73.709998,3217300,67.790306,DD
